triplets,co
"('1-6098C', '1-9099', '1-8939')",23
"('1-7866C', '1-7140C', '1-5775C')",23
"('1-5775C', '1-7140C', '1-7866C')",23
"('mlg47', 'mlg52', 'mlg53')",23
"('1-8990', 'mlg25', 'mlg33')",23
"('1-1224C', '1-9274', '1-1833C')",23
"('1-9099', '1-8939', '1-6098C')",23
"('1-8990', 'mlg33', 'mlg25')",23
"('mlg25', '1-8990', 'mlg33')",23
"('mlg52', 'mlg47', 'mlg53')",23
"('mlg25', 'mlg33', '1-8990')",23
"('mlg33', '1-8990', 'mlg25')",23
"('mlg53', 'mlg47', 'mlg52')",23
"('mlg33', 'mlg25', '1-8990')",23
"('1-9099', '1-6098C', '1-8939')",23
"('mlg52', 'mlg53', 'mlg47')",23
"('mlg53', 'mlg52', 'mlg47')",23
"('7W2-0103C', 'mlg56', '1-0405C')",22
"('1-9732', 'mlg33', 'mlg22')",22
"('1-9732', 'mlg22', 'mlg33')",22
"('mlg33', '1-9732', 'mlg22')",22
"('mlg22', 'mlg33', '1-9732')",22
"('mlg22', '1-9732', 'mlg33')",22
"('mlg33', 'mlg22', '1-9732')",22
"('1-1317C', '7W2-11889', '1-17711')",22
"('mlg22', '1-4041', 'mlg33')",22
"('7W2-0103C', '1-0405C', 'mlg56')",22
"('7W2-11889', '1-1317C', '1-17711')",22
"('1-17711', '7W2-11889', '1-1317C')",22
"('1-17711', '1-1317C', '7W2-11889')",22
"('mlg33', 'mlg22', '1-4041')",22
"('mlg33', '1-4041', 'mlg22')",22
"('mlg22', 'mlg33', '1-4041')",22
"('1-4041', 'mlg33', 'mlg22')",22
"('1-4041', 'mlg22', 'mlg33')",22
"('1-1317C', '1-17711', '7W2-11889')",22
"('1-0405C', 'mlg56', '7W2-0103C')",22
"('1-0405C', '7W2-0103C', 'mlg56')",22
"('mlg56', '1-0405C', '7W2-0103C')",22
"('mlg56', '7W2-0103C', '1-0405C')",22
"('7W2-11889', '1-17711', '1-1317C')",22
"('mlg03', '1-8098C', '1-8188C')",21
"('1-8810', 'mlg22', 'mlg33')",21
"('mlg03', '1-8188C', '1-8098C')",21
"('1-2423C', '1-4126', 'PR1-12609')",21
"('mlg26', '1-4126', '1-2423C')",21
"('1-8098C', '1-8188C', 'mlg03')",21
"('mlg33', 'mlg22', '1-8810')",21
"('1-2670C', '1-9137C', '1-3017')",21
"('1-2670C', '1-3017', '1-9137C')",21
"('1-9137C', '1-2670C', '1-3017')",21
"('1-9137C', '1-3017', '1-2670C')",21
"('1-3017', '1-2670C', '1-9137C')",21
"('mlg22', '1-8974', 'mlg33')",21
"('1-3017', '1-9137C', '1-2670C')",21
"('mlg33', '1-8810', 'mlg22')",21
"('mlg33', 'mlg22', '1-8974')",21
"('mlg33', '1-8974', 'mlg22')",21
"('mlg22', 'mlg33', '1-8974')",21
"('mlg26', '1-2423C', '1-4126')",21
"('1-4126', 'mlg26', '1-2423C')",21
"('1-4126', '1-2423C', 'mlg26')",21
"('1-2423C', 'mlg26', '1-4126')",21
"('1-2423C', '1-4126', 'mlg26')",21
"('1-8810', 'mlg33', 'mlg22')",21
"('1-2423C', 'PR1-12609', '1-4126')",21
"('PR1-12609', '1-4126', '1-2423C')",21
"('1-8188C', 'mlg03', '1-8098C')",21
"('1-4126', '1-2423C', 'PR1-12609')",21
"('1-4126', 'PR1-12609', '1-2423C')",21
"('mlg22', '1-8810', 'mlg33')",21
"('1-8188C', '1-8098C', 'mlg03')",21
"('1-8974', 'mlg33', 'mlg22')",21
"('PR1-12609', '1-2423C', '1-4126')",21
"('1-8974', 'mlg22', 'mlg33')",21
"('1-8098C', 'mlg03', '1-8188C')",21
"('mlg22', 'mlg33', '1-8810')",21
"('1-1258C', 'mlg22', '1-8974')",20
"('1-1258C', 'mlg33', 'mlg26')",20
"('1-1258C', '1-8974', 'mlg22')",20
"('mlg26', '1-1258C', 'mlg33')",20
"('mlg26', 'mlg33', '1-1258C')",20
"('1-8974', '1-1258C', 'mlg22')",20
"('1-8974', 'mlg22', '1-1258C')",20
"('1-6098C', '1-1462C', 'mlg03')",20
"('mlg33', 'mlg26', '1-1258C')",20
"('mlg22', '1-1258C', '1-8974')",20
"('mlg33', '1-1258C', 'mlg26')",20
"('mlg22', '1-8974', '1-1258C')",20
"('1-1258C', 'mlg26', 'mlg33')",20
"('1-1462C', '1-6098C', 'mlg03')",20
"('1-6098C', 'mlg03', '1-1462C')",20
"('mlg03', '1-1462C', '1-6098C')",20
"('mlg03', '1-6098C', '1-1462C')",20
"('1-1462C', 'mlg03', '1-6098C')",20
"('mlg35', '1-2545C', 'mlg25')",19
"('mlg25', 'mlg35', '1-2545C')",19
"('mlg33', '1-8990', 'mlg02')",19
"('mlg26', 'PR1-12609', '1-2423C')",19
"('mlg26', '1-4126', 'PR1-12609')",19
"('mlg26', '1-2423C', 'PR1-12609')",19
"('PR1-12609', 'mlg26', '1-4126')",19
"('PR1-12609', 'mlg26', '1-2423C')",19
"('PR1-12609', '1-4126', 'mlg26')",19
"('mlg02', 'mlg33', '1-8990')",19
"('PR1-12609', '1-2423C', 'mlg26')",19
"('mlg02', '1-8990', 'mlg33')",19
"('1-4126', 'mlg26', 'PR1-12609')",19
"('1-4126', 'PR1-12609', 'mlg26')",19
"('mlg35', 'mlg25', '1-2545C')",19
"('1-2423C', 'mlg26', 'PR1-12609')",19
"('1-8990', 'mlg02', 'mlg33')",19
"('1-2423C', 'PR1-12609', 'mlg26')",19
"('1-8990', 'mlg33', 'mlg02')",19
"('1-2545C', 'mlg25', 'mlg35')",19
"('mlg26', 'PR1-12609', '1-4126')",19
"('1-2545C', 'mlg35', 'mlg25')",19
"('mlg25', '1-2545C', 'mlg35')",19
"('mlg33', 'mlg02', '1-8990')",19
"('1-0278C', '1-8084C', '1-8508C')",18
"('mlg19', 'mlg02', '1-1605')",18
"('mlg22', '1-1605', 'mlg33')",18
"('1-8084C', '1-0278C', '1-8508C')",18
"('mlg02', '1-1605', 'mlg19')",18
"('1-1605', 'mlg22', 'mlg33')",18
"('1-1605', 'mlg33', 'mlg22')",18
"('mlg33', 'mlg25', '1-8995')",18
"('mlg33', '1-8995', 'mlg25')",18
"('mlg22', 'mlg33', '1-1605')",18
"('1-1224C', '1-1833C', '1-8914')",18
"('mlg33', '1-1605', 'mlg22')",18
"('mlg33', 'mlg22', '1-1605')",18
"('1-1605', 'mlg02', 'mlg19')",18
"('1-0278C', '1-8508C', '1-8084C')",18
"('mlg19', '1-1605', 'mlg02')",18
"('mlg02', 'mlg19', '1-1605')",18
"('1-8084C', '1-8508C', '1-0278C')",18
"('mlg25', 'mlg33', '1-8995')",18
"('1-8508C', '1-0278C', '1-8084C')",18
"('1-17759', 'mlg53', 'mlg47')",18
"('1-8995', 'mlg25', 'mlg33')",18
"('1-8995', 'mlg33', 'mlg25')",18
"('mlg47', '1-17759', 'mlg53')",18
"('mlg47', 'mlg53', '1-17759')",18
"('1-8508C', '1-8084C', '1-0278C')",18
"('1-17759', 'mlg47', 'mlg53')",18
"('1-8914', '1-1224C', '1-1833C')",18
"('1-8914', '1-1833C', '1-1224C')",18
"('mlg53', 'mlg47', '1-17759')",18
"('1-1833C', '1-8914', '1-1224C')",18
"('1-1833C', '1-1224C', '1-8914')",18
"('mlg53', '1-17759', 'mlg47')",18
"('1-1224C', '1-8914', '1-1833C')",18
"('mlg25', '1-8995', 'mlg33')",18
"('1-1605', 'mlg19', 'mlg02')",18
"('1-8974', '1-1258C', '1-4041')",17
"('1-4041', '1-8974', '1-1258C')",17
"('1-8974', '1-4041', '1-1258C')",17
"('1-4041', '1-1258C', '1-8974')",17
"('mlg44', '1-6181C', 'mlg46')",17
"('1-1258C', '1-8974', '1-4041')",17
"('1-1258C', '1-4041', '1-8974')",17
"('mlg44', '1-6181C', 'mlg45')",17
"('7W2-11889', '1-17711', '1-11002')",17
"('1-6181C', 'mlg44', 'mlg45')",17
"('7W2-11889', '1-11002', '1-17711')",17
"('1-6181C', 'mlg46', 'mlg44')",17
"('mlg44', 'mlg46', '1-6181C')",17
"('mlg45', '1-6181C', 'mlg44')",17
"('mlg45', 'mlg44', '1-6181C')",17
"('mlg46', '1-6181C', 'mlg44')",17
"('1-6181C', 'mlg45', 'mlg44')",17
"('1-6181C', 'mlg44', 'mlg46')",17
"('mlg44', 'mlg45', '1-6181C')",17
"('mlg46', 'mlg44', '1-6181C')",17
"('1-11002', '1-17711', '7W2-11889')",17
"('1-17711', '7W2-11889', '1-11002')",17
"('1-11002', '7W2-11889', '1-17711')",17
"('1-17711', '1-11002', '7W2-11889')",17
"('1-8995', 'mlg02', 'mlg33')",16
"('mlg02', 'mlg33', '1-8995')",16
"('1-10962', '7W2-11889', '1-4052')",16
"('1-4052', '1-10962', '7W2-11889')",16
"('1-4052', '7W2-11889', '1-10962')",16
"('7W2-11889', '1-10962', '1-4052')",16
"('7W2-11889', '1-4052', '1-10962')",16
"('mlg02', '1-1637', 'mlg18')",16
"('mlg19', 'mlg02', '1-1637')",16
"('1-1637', 'mlg19', 'mlg02')",16
"('mlg19', '1-1637', 'mlg02')",16
"('1-8767C', 'mlg56', '1-0405C')",16
"('mlg02', '1-8995', 'mlg33')",16
"('mlg02', 'mlg19', '1-1637')",16
"('mlg02', '1-1637', 'mlg19')",16
"('1-8995', 'mlg33', 'mlg02')",16
"('1-10962', '1-4052', '7W2-11889')",16
"('mlg56', '1-8767C', '1-0405C')",16
"('1-8767C', '1-0405C', 'mlg56')",16
"('1-1637', 'mlg02', 'mlg18')",16
"('1-6181C', 'mlg45', 'mlg46')",16
"('mlg46', '1-6181C', 'mlg45')",16
"('mlg33', 'mlg02', '1-8995')",16
"('mlg18', 'mlg02', '1-1637')",16
"('mlg45', 'mlg46', '1-6181C')",16
"('mlg45', '1-6181C', 'mlg46')",16
"('1-6181C', 'mlg46', 'mlg45')",16
"('mlg46', 'mlg45', '1-6181C')",16
"('1-1637', 'mlg18', 'mlg02')",16
"('mlg18', '1-1637', 'mlg02')",16
"('mlg02', 'mlg18', '1-1637')",16
"('1-0405C', 'mlg56', '1-8767C')",16
"('1-0405C', '1-8767C', 'mlg56')",16
"('mlg56', '1-0405C', '1-8767C')",16
"('mlg33', '1-8995', 'mlg02')",16
"('1-1637', 'mlg02', 'mlg19')",16
"('1-17711', '1-10979', '7W2-11889')",16
"('7W2-11889', '1-17711', '1-10979')",16
"('mlg02', 'mlg33', 'mlg25')",16
"('1-17711', '7W2-11889', '1-10979')",16
"('mlg02', 'mlg25', 'mlg33')",16
"('1-10979', '7W2-11889', '1-17711')",16
"('7W2-11889', '1-10979', '1-17711')",16
"('1-10979', '1-17711', '7W2-11889')",16
"('mlg25', 'mlg02', 'mlg33')",16
"('mlg25', 'mlg33', 'mlg02')",16
"('mlg33', 'mlg02', 'mlg25')",16
"('mlg33', 'mlg25', 'mlg02')",16
"('mlg56', '1-8767C', '7W2-0103C')",15
"('mlg33', '1-0292C', 'mlg22')",15
"('mlg56', '7W2-0103C', '1-8767C')",15
"('mlg22', 'mlg33', '1-0292C')",15
"('7W2-0103C', 'mlg56', '1-8767C')",15
"('1-8767C', '1-0405C', '7W2-0103C')",15
"('mlg33', 'mlg22', '1-0292C')",15
"('1-8767C', 'mlg56', '7W2-0103C')",15
"('1-8767C', '7W2-0103C', '1-0405C')",15
"('1-0292C', 'mlg33', 'mlg22')",15
"('1-8767C', '7W2-0103C', 'mlg56')",15
"('7W2-0103C', '1-0405C', '1-8767C')",15
"('mlg22', '1-0292C', 'mlg33')",15
"('7W2-0103C', '1-8767C', '1-0405C')",15
"('7W2-0103C', '1-8767C', 'mlg56')",15
"('1-0405C', '7W2-0103C', '1-8767C')",15
"('1-0405C', '1-8767C', '7W2-0103C')",15
"('1-6098C', '1-1833C', '1-1224C')",15
"('1-0292C', 'mlg22', 'mlg33')",15
"('1-6098C', '1-1224C', '1-1833C')",15
"('1-1833C', '1-6098C', '1-1224C')",15
"('1-1833C', '1-1224C', '1-6098C')",15
"('1-1224C', '1-6098C', '1-1833C')",15
"('1-1224C', '1-1833C', '1-6098C')",15
"('1-9732', 'mlg33', '1-1258C')",14
"('1-5775C', '1-7140C', '1-6098C')",14
"('1-5775C', '1-6098C', '1-7140C')",14
"('1-9732', '1-1258C', 'mlg33')",14
"('1-6098C', '1-7140C', '1-5775C')",14
"('1-1462C', '1-1196', '1-1404')",14
"('1-1258C', 'mlg33', '1-9732')",14
"('1-1258C', '1-9732', 'mlg33')",14
"('1-6098C', '1-2294C', '1-8945')",14
"('1-6098C', '1-8945', '1-2294C')",14
"('1-6098C', '1-5775C', '1-7140C')",14
"('1-8945', '1-2294C', '1-6098C')",14
"('1-7140C', '1-5775C', '1-6098C')",14
"('1-19443', '1-5775C', '1-7140C')",14
"('1-8974', '1-1258C', 'mlg20')",14
"('1-8974', 'mlg20', '1-1258C')",14
"('mlg20', '1-1258C', '1-8974')",14
"('mlg20', '1-8974', '1-1258C')",14
"('1-5775C', '1-19443', '1-7140C')",14
"('1-7140C', '1-5775C', '1-19443')",14
"('1-7140C', '1-19443', '1-5775C')",14
"('1-19443', '1-7140C', '1-5775C')",14
"('1-7140C', '1-6098C', '1-5775C')",14
"('1-5775C', '1-7140C', '1-19443')",14
"('1-8945', '1-6098C', '1-2294C')",14
"('1-2423C', '1-8084C', '1-0278C')",14
"('1-8084C', '1-0278C', '1-2423C')",14
"('1-8084C', '1-2423C', '1-0278C')",14
"('1-1462C', '1-1404', '1-1196')",14
"('1-2423C', '1-0278C', '1-8084C')",14
"('1-0278C', '1-8084C', '1-2423C')",14
"('1-1258C', 'mlg20', '1-8974')",14
"('1-1258C', '1-8974', 'mlg20')",14
"('mlg47', '1-7972', '1-7970')",14
"('1-1404', '1-1462C', '1-1196')",14
"('1-2294C', '1-8945', '1-6098C')",14
"('1-2294C', '1-6098C', '1-8945')",14
"('7W2-11889', '1-17711', '1-10769')",14
"('7W2-11889', '1-10769', '1-17711')",14
"('1-17711', '7W2-11889', '1-10769')",14
"('1-17711', '1-10769', '7W2-11889')",14
"('1-10769', '7W2-11889', '1-17711')",14
"('1-10769', '1-17711', '7W2-11889')",14
"('mlg47', '1-7970', '1-7972')",14
"('1-1404', '1-1196', '1-1462C')",14
"('1-7970', 'mlg47', '1-7972')",14
"('1-7970', '1-7972', 'mlg47')",14
"('mlg33', '1-9732', '1-1258C')",14
"('1-0278C', '1-2423C', '1-8084C')",14
"('1-7972', 'mlg47', '1-7970')",14
"('1-1196', '1-1404', '1-1462C')",14
"('mlg33', '1-1258C', '1-9732')",14
"('1-7972', '1-7970', 'mlg47')",14
"('1-1196', '1-1462C', '1-1404')",14
"('mlg03', '1-10129', '1-6098C')",13
"('1-6098C', '1-9099', 'mlg36')",13
"('1-6098C', '1-8939', 'mlg36')",13
"('mlg03', '1-1462C', '1-1404')",13
"('1-8974', '1-8836', 'mlg26')",13
"('1-8836', 'mlg26', '1-8974')",13
"('1-16979', '1-1462C', 'mlg03')",13
"('1-2423C', '1-0278C', '1-8508C')",13
"('1-1404', 'mlg03', '1-1462C')",13
"('1-1462C', 'mlg03', '1-1404')",13
"('mlg75', '1-0303C', '1-8313')",13
"('1-8974', 'mlg26', '1-8836')",13
"('mlg75', '1-8313', '1-0303C')",13
"('1-8836', '1-8974', 'mlg26')",13
"('1-6098C', 'mlg36', '1-9099')",13
"('1-6098C', 'mlg36', '1-8939')",13
"('mlg03', '1-6098C', '1-10129')",13
"('mlg35', 'mlg26', '1-8974')",13
"('mlg03', '1-1404', '1-1462C')",13
"('mlg36', '1-9099', '1-6098C')",13
"('mlg36', '1-8939', '1-6098C')",13
"('mlg36', '1-6098C', '1-9099')",13
"('mlg35', '1-8974', 'mlg26')",13
"('mlg26', 'mlg35', '1-8974')",13
"('1-1462C', 'mlg03', '1-16979')",13
"('mlg26', '1-8974', 'mlg35')",13
"('1-1462C', '1-16979', 'mlg03')",13
"('1-6098C', '1-10129', 'mlg03')",13
"('1-8974', 'mlg35', 'mlg26')",13
"('1-1404', '1-1462C', 'mlg03')",13
"('1-8974', 'mlg26', 'mlg35')",13
"('1-6098C', 'mlg03', '1-10129')",13
"('1-10129', '1-6098C', 'mlg03')",13
"('mlg26', '1-8974', '1-8836')",13
"('1-0278C', '1-8508C', '1-2423C')",13
"('mlg36', '1-6098C', '1-8939')",13
"('mlg26', '1-8836', '1-8974')",13
"('1-10129', 'mlg03', '1-6098C')",13
"('1-9099', 'mlg36', '1-6098C')",13
"('1-9099', '1-6098C', 'mlg36')",13
"('1-8939', 'mlg36', '1-6098C')",13
"('1-8939', '1-6098C', 'mlg36')",13
"('1-0278C', '1-2423C', '1-8508C')",13
"('mlg03', '1-16979', '1-1462C')",13
"('1-8313', 'mlg75', '1-0303C')",13
"('1-7682C', 'mlg26', 'mlg36')",13
"('1-16979', 'mlg03', '1-10129')",13
"('mlg03', '1-10129', '1-16979')",13
"('mlg03', '1-16979', '1-10129')",13
"('1-0303C', '1-8313', 'mlg75')",13
"('1-8313', '1-0303C', 'mlg75')",13
"('1-1462C', '1-1196', 'mlg03')",13
"('7W2-11889', '1-10768', '1-17711')",13
"('1-1462C', 'mlg03', '1-1196')",13
"('1-17711', '7W2-11889', '1-10768')",13
"('1-1196', '1-1462C', 'mlg03')",13
"('1-1196', 'mlg03', '1-1462C')",13
"('1-7682C', 'mlg36', 'mlg26')",13
"('1-10129', 'mlg03', '1-16979')",13
"('mlg26', '1-7682C', 'mlg36')",13
"('mlg26', 'mlg36', '1-7682C')",13
"('mlg36', '1-7682C', 'mlg26')",13
"('1-17711', '1-10768', '7W2-11889')",13
"('mlg36', 'mlg26', '1-7682C')",13
"('mlg22', 'mlg02', '1-8990')",13
"('mlg22', '1-8990', 'mlg02')",13
"('1-10768', '7W2-11889', '1-17711')",13
"('1-10768', '1-17711', '7W2-11889')",13
"('mlg02', 'mlg22', '1-8990')",13
"('mlg02', '1-8990', 'mlg22')",13
"('1-16979', '1-10129', 'mlg03')",13
"('1-6098C', '1-7140C', '1-7866C')",13
"('1-8990', 'mlg02', 'mlg22')",13
"('1-6098C', '1-7866C', '1-7140C')",13
"('1-17711', '1-4052', '7W2-11889')",13
"('1-17711', '7W2-11889', '1-4052')",13
"('1-0303C', 'mlg75', '1-8313')",13
"('1-4052', '1-17711', '7W2-11889')",13
"('1-4052', '7W2-11889', '1-17711')",13
"('7W2-11889', '1-17711', '1-4052')",13
"('7W2-11889', '1-4052', '1-17711')",13
"('1-1462C', '1-1404', 'mlg03')",13
"('1-2423C', '1-8508C', '1-0278C')",13
"('1-16979', 'mlg03', '1-1462C')",13
"('1-8990', 'mlg22', 'mlg02')",13
"('mlg03', '1-1196', '1-1462C')",13
"('1-8508C', '1-0278C', '1-2423C')",13
"('mlg03', '1-1462C', '1-1196')",13
"('1-8508C', '1-2423C', '1-0278C')",13
"('7W2-11889', '1-17711', '1-10768')",13
"('mlg03', '1-1462C', '1-16979')",13
"('1-7866C', '1-7140C', '1-6098C')",13
"('1-7866C', '1-6098C', '1-7140C')",13
"('1-7140C', '1-7866C', '1-6098C')",13
"('1-10129', '1-16979', 'mlg03')",13
"('1-7140C', '1-6098C', '1-7866C')",13
"('1-4052', '1-10667', '7W2-11889')",12
"('1-10667', '7W2-11889', '1-4052')",12
"('1-10667', '1-4052', '7W2-11889')",12
"('7W2-11889', '1-4052', '1-10767')",12
"('1-10767', '7W2-11889', '1-4052')",12
"('1-4052', '1-10767', '7W2-11889')",12
"('1-4052', '7W2-11889', '1-10767')",12
"('7W2-11889', '1-10767', '1-4052')",12
"('1-4052', '7W2-11889', '1-10667')",12
"('1-1637', 'mlg02', 'mlg75')",12
"('1-1637', 'mlg75', 'mlg02')",12
"('mlg02', '1-1637', 'mlg75')",12
"('mlg02', 'mlg75', '1-1637')",12
"('mlg75', '1-1637', 'mlg02')",12
"('mlg75', 'mlg02', '1-1637')",12
"('1-18799', 'mlg44', 'mlg45')",12
"('1-10767', '1-4052', '7W2-11889')",12
"('mlg47', 'mlg53', 'mlg48')",12
"('1-10770', '1-17711', '7W2-11889')",12
"('1-18799', 'mlg45', 'mlg44')",12
"('mlg45', 'mlg44', '1-18799')",12
"('mlg26', '1-8810', '1-8974')",12
"('1-18780', '1-8562', 'mlg53')",12
"('7W2-11889', '1-4052', '1-10667')",12
"('1-18780', 'mlg53', '1-8562')",12
"('mlg35', 'mlg25', '1-8990')",12
"('7W2-11889', '1-10667', '1-4052')",12
"('1-8836', 'mlg26', 'mlg35')",12
"('1-8562', 'mlg53', '1-18780')",12
"('1-8836', 'mlg35', 'mlg26')",12
"('mlg35', '1-8990', 'mlg25')",12
"('mlg25', 'mlg35', '1-8990')",12
"('7W2-11889', '1-17711', '1-10770')",12
"('mlg25', '1-8990', 'mlg35')",12
"('1-8990', 'mlg35', 'mlg25')",12
"('1-8990', 'mlg25', 'mlg35')",12
"('1-8974', 'mlg26', '1-8810')",12
"('mlg26', '1-8836', 'mlg35')",12
"('mlg26', 'mlg35', '1-8836')",12
"('1-8974', '1-8810', 'mlg26')",12
"('mlg45', '1-18799', 'mlg44')",12
"('1-0303C', '1-16909', '1-8313')",12
"('1-8810', 'mlg26', '1-8974')",12
"('mlg53', 'mlg48', 'mlg47')",12
"('7W2-11841', '1-2714C', '1-9098')",12
"('7W2-11841', '1-9098', '1-2714C')",12
