triplets,co
"('1-8995', 'mlg33', 'mlg22')",77
"('mlg22', 'mlg33', '1-8990')",77
"('1-9099', '1-8939', 'mlg26')",77
"('1-9099', 'mlg26', '1-8939')",77
"('1-8990', 'mlg22', 'mlg33')",77
"('1-8990', 'mlg33', 'mlg22')",77
"('1-8939', 'mlg26', '1-9099')",77
"('mlg33', 'mlg22', '1-8995')",77
"('mlg26', '1-8939', '1-9099')",77
"('mlg26', '1-9099', '1-8939')",77
"('mlg22', '1-8990', 'mlg33')",77
"('mlg33', '1-8990', 'mlg22')",77
"('mlg33', 'mlg22', '1-8990')",77
"('1-8939', '1-9099', 'mlg26')",77
"('mlg33', '1-8995', 'mlg22')",77
"('1-8995', 'mlg22', 'mlg33')",77
"('mlg22', 'mlg33', '1-8995')",77
"('mlg22', '1-8995', 'mlg33')",77
"('mlg45', 'mlg46', 'mlg44')",72
"('mlg45', 'mlg44', 'mlg46')",72
"('mlg44', 'mlg46', 'mlg45')",72
"('mlg46', 'mlg44', 'mlg45')",72
"('mlg44', 'mlg45', 'mlg46')",72
"('mlg46', 'mlg45', 'mlg44')",72
"('mlg22', 'mlg33', '1-1258C')",63
"('mlg33', '1-1258C', 'mlg22')",63
"('1-1258C', 'mlg22', 'mlg33')",63
"('1-1258C', 'mlg33', 'mlg22')",63
"('mlg22', '1-1258C', 'mlg33')",63
"('mlg33', 'mlg22', '1-1258C')",63
"('1-8939', '1-9099', 'mlg36')",55
"('1-8939', 'mlg36', '1-9099')",55
"('1-9099', '1-8939', 'mlg36')",55
"('1-9099', 'mlg36', '1-8939')",55
"('mlg36', '1-8939', '1-9099')",55
"('mlg36', '1-9099', '1-8939')",55
"('mlg26', '1-8974', '1-1258C')",42
"('1-8974', '1-1258C', 'mlg26')",42
"('1-1258C', '1-8974', 'mlg26')",42
"('1-1258C', 'mlg26', '1-8974')",42
"('1-8974', 'mlg26', '1-1258C')",42
"('mlg26', '1-1258C', '1-8974')",42
"('mlg33', '1-6006C', 'mlg22')",39
"('mlg33', 'mlg22', 'mlg02')",39
"('mlg33', 'mlg02', 'mlg22')",39
"('mlg22', 'mlg33', 'mlg02')",39
"('mlg22', 'mlg02', 'mlg33')",39
"('mlg02', 'mlg22', 'mlg33')",39
"('1-6006C', 'mlg33', 'mlg22')",39
"('mlg22', 'mlg33', '1-6006C')",39
"('mlg33', 'mlg22', '1-6006C')",39
"('mlg22', '1-6006C', 'mlg33')",39
"('1-6006C', 'mlg22', 'mlg33')",39
"('mlg02', 'mlg33', 'mlg22')",39
"('1-1015', 'mlg02', '1-1605')",29
"('1-1605', '1-1015', 'mlg02')",29
"('mlg36', 'mlg26', '1-9099')",29
"('mlg02', '1-1015', '1-1605')",29
"('mlg02', '1-1605', '1-1015')",29
"('mlg36', '1-9099', 'mlg26')",29
"('mlg26', '1-9099', 'mlg36')",29
"('1-9099', 'mlg36', 'mlg26')",29
"('1-9099', 'mlg26', 'mlg36')",29
"('mlg26', 'mlg36', '1-9099')",29
"('1-1605', 'mlg02', '1-1015')",29
"('1-1015', '1-1605', 'mlg02')",29
"('mlg26', 'mlg36', '1-8939')",28
"('1-8939', 'mlg26', 'mlg36')",28
"('mlg36', 'mlg26', '1-8939')",28
"('mlg36', '1-8939', 'mlg26')",28
"('mlg26', '1-8939', 'mlg36')",28
"('1-8939', 'mlg36', 'mlg26')",28
"('mlg02', '1-10078', '1-1605')",27
"('1-1605', 'mlg02', '1-10078')",27
"('1-1605', '1-10078', 'mlg02')",27
"('1-10078', 'mlg02', '1-1605')",27
"('mlg02', '1-1605', '1-10078')",27
"('1-10078', '1-1605', 'mlg02')",27
"('1-4039', '1-5820', '1-4037')",26
"('1-5820', '1-4037', '1-4039')",26
"('1-5820', '1-4039', '1-4037')",26
"('1-9098', '1-9383', '7W2-11841')",26
"('1-4037', '1-5820', '1-4039')",26
"('1-9098', '7W2-11841', '1-9383')",26
"('1-9383', '1-9098', '7W2-11841')",26
"('1-9383', '7W2-11841', '1-9098')",26
"('7W2-11841', '1-9098', '1-9383')",26
"('7W2-11841', '1-9383', '1-9098')",26
"('1-4039', '1-4037', '1-5820')",26
"('1-4037', '1-4039', '1-5820')",26
"('1-9207', 'mlg26', '1-4126')",25
"('1-9751', 'mlg26', '1-8874')",25
"('1-9751', '1-8874', 'mlg26')",25
"('mlg26', '1-9751', '1-8874')",25
"('1-4126', '1-9207', 'mlg26')",25
"('1-4126', 'mlg26', '1-9207')",25
"('1-9207', '1-4126', 'mlg26')",25
"('mlg26', '1-8874', '1-9751')",25
"('1-8874', 'mlg26', '1-9751')",25
"('mlg26', '1-4126', '1-9207')",25
"('mlg26', '1-9207', '1-4126')",25
"('1-8874', '1-9751', 'mlg26')",25
"('1-5820', '1-4039', '1-4028')",24
"('1-4052', '7W2-11889', '1-1317C')",24
"('1-4052', '1-1317C', '7W2-11889')",24
"('7W2-11889', '1-1317C', '1-4052')",24
"('1-4037', '1-4039', '1-4028')",24
"('1-4028', '1-4037', '1-4039')",24
"('1-4028', '1-4039', '1-5820')",24
"('1-4028', '1-4039', '1-4037')",24
"('1-4028', '1-4037', '1-5820')",24
"('1-5820', '1-4037', '1-4028')",24
"('1-1317C', '7W2-11889', '1-4052')",24
"('1-1317C', '1-4052', '7W2-11889')",24
"('7W2-11889', '1-4052', '1-1317C')",24
"('1-4028', '1-5820', '1-4037')",24
"('1-4037', '1-4028', '1-4039')",24
"('1-4028', '1-5820', '1-4039')",24
"('1-4039', '1-4037', '1-4028')",24
"('1-4039', '1-4028', '1-5820')",24
"('1-5820', '1-4028', '1-4039')",24
"('1-5820', '1-4028', '1-4037')",24
"('1-4039', '1-4028', '1-4037')",24
"('1-4037', '1-5820', '1-4028')",24
"('1-4039', '1-5820', '1-4028')",24
"('1-4037', '1-4028', '1-5820')",24
"('1-1833C', '1-9274', '1-1224C')",23
"('1-5775C', '1-7866C', '1-7140C')",23
"('1-8939', '1-9099', '1-6098C')",23
"('1-1833C', '1-1224C', '1-9274')",23
"('1-9274', '1-1833C', '1-1224C')",23
"('1-8939', '1-6098C', '1-9099')",23
"('mlg47', 'mlg53', 'mlg52')",23
"('1-7866C', '1-5775C', '1-7140C')",23
"('1-7140C', '1-5775C', '1-7866C')",23
"('1-7140C', '1-7866C', '1-5775C')",23
"('1-9274', '1-1224C', '1-1833C')",23
"('1-6098C', '1-8939', '1-9099')",23
"('1-1224C', '1-1833C', '1-9274')",23
