exam,size
1-9169,27
1-9185C,45
1-9187C,21
1-9189C,16
1-9195C,13
1-9204C,19
1-9206,23
1-9207,61
1-9208,12
1-9237C,54
1-9252C,21
1-9253C,84
1-9270C,95
1-9274,79
1-9277C,45
1-9283C,171
1-9286C,60
1-9288C,9
1-9291C,106
1-9319C,27
1-9331C,22
1-9333C,36
1-9338C,29
1-9345C,47
1-9349C,29
1-9356C,116
1-9357C,13
1-9366C,47
1-9367C,19
1-9383,77
1-9384C,10
1-9415,11
1-9509,14
1-9518,138
1-9530,12
1-9546,16
1-9584,10
1-9602,38
1-9711,10
1-9715,9
1-9724,9
1-9732,59
1-9741,6
1-9751,47
1-9753,191
1-9775,88
1-9926,27
1-9927,63
7W2-0103C,55
7W2-11483,20
7W2-11841,49
7W2-11889,319
7W2-20034,27
7W2-20918,1
FWS-19025,16
PR1-12609,42
PR1-16055,5
mlg01,33
mlg02,683
mlg03,624
mlg04,76
mlg05,21
mlg06,50
mlg07,20
mlg08,64
mlg09,9
mlg10,71
mlg11,76
mlg12,37
mlg13,124
mlg14,8
mlg15,9
mlg17,6
mlg18,224
mlg19,285
mlg20,149
mlg22,584
mlg23,128
mlg24,72
mlg25,430
mlg26,647
mlg27,52
mlg28,72
mlg29,85
mlg30,69
mlg31,16
mlg32,27
mlg33,557
mlg34,362
mlg35,203
mlg36,214
mlg37,31
mlg39,24
mlg41,61
mlg44,96
mlg45,108
mlg46,147
mlg47,225
mlg48,88
mlg49,198
mlg50,195
mlg51,174
mlg52,74
mlg53,112
mlg54,76
mlg55,49
mlg56,120
mlg65,509
mlg66,196
mlg68,86
mlg69,167
mlg70,156
mlg71,112
mlg73,49
mlg74,105
mlg75,290
mlg76,175
mlg77,107
mlg78,98
mlg80,109
